EG002,1,"EGKH-9"" Nepal Army Service Khukuri - Gurkha Issue Kukri Knife","Nepal Army Official Issue: The khukuri (Kukri) is traditionally carries either in war or in civil life. Very effective when used as the kukri, it is a symbolic kukri of the Nepal Army, and of all Gurkha regiments throughout the world. Signifying the courage and valor of the bearer in the battlefield. It is a part of the regimental weaponry and heraldry the Nepalese Gurkha Rifled. It is known to many people as simply the ""Gurkha blade"" or ""Gurkha knife"". An attacking knife (kukri). The blade is made of Highly Graded Carbon with balanced temper on the edge of the blade therefore its very strong. Besides carrying the knife in war time, this blade can be used to chop wood or bone cleaning bushes. This is also called Standard Issued in Gurkha Units as they have few other military kukris issued in special occasion or during training. The Kukri Specifications: This is handcrafted knife therefore please note that each one might have slight variations in measurement.",EG002,94.99,,,20,,
EG003,1,"EGKH- Genuine Gurkha Khukri - 11"" Blade Bahadur Gurkha 3 Fullers(Chira) Gripper Blocker Handle Kukri","Compatible with or replacement for this Afghanistan Enduring operation Freedom Gripper Blocker Handle khukuri is most genuine and popular khukuri because the Gurkha soldiers who were in Afghanistan, they can carry this blade. This khukuri (kukri) is new product of Ex Gurkha Khukuri House issue to British Gurkha for Afghanistan. This kukri is not necessary to all British Gurkha who are in Afghanistan but who like to have this kukri thay can have this .This kukri's handle is quite different from other kukris and is good for working, very comfortable to use . The sheath also matches with Afghanistan environment,so this kukri is very famous like other gurkha kukri. Inspected regularly by an officer, this khukuri (kukri) is usually used during Training and Duty. All Khukuris have two pockets on the back of the scabbard which hold a blunt steel called ""chakmak"" for sharpening the blade or for striking spark from flint and a little knife known as ""karda"" used for skinning small animals such as rabbits. The notch (kaura or kaudi) in the blade near the hilt of most khukuris serves as conduit for the blood on the blade to drip out, thus preventing it from soiling the hilt, as well as a device for catching and neutralizing and enemy blade. *Specification of 11"" Afghan Gripper Blocker Handle (AEOF) Kukri : This is handcrafted kukri therefore please note that each one might have slight variations in measurement. Blade size & Type: 11 inch (27.5cm) Handmade and Unpolished blade . Handle size: 5 Inches (11.25cm) full tang Gripper Blocker handle Indian Rosewood. Overall Length: 15.5"" from tip of the blade to pommel of the handle (Aprox) Weight: 1.76 lbs (800 grams) Approx, Blade and Sheath & Karda & Chakmak. Scabbard: Cotton Covered in Buffalo Leather Shipping weight: 3.00 lbs or 1.5 Kg Origin: Hand forge at Ex Gurkha Khukuri House factory in Dharan, East Nepal. Blade Hardness: spine: 22-25 RC, Belly: 45-46 RC, Edge: 58-60 RC, Steel",EG003,122.99,,,20,,
EG004,1,"EGKH Classic Vintage Officer's Khukuri - British India Inter-war period Kukri - 10"" Blade Gurkha Jungle Full Tang Hand Forged","This is the actual jungle PRI issue khukuri but specially develop to carry out different jungle task. The kukri is heaver then standard jungle PRI issue and has got full tang handle. 10"" blade is unpolished for the real jungle used and full flat tang handle is made to carry out the maximum force on the blade. It is designed for rough use so no finishing (shinning) is done on the blade. The handle is strongly join with the blade by two rivets.The kukri has got lanyard hole on the handle for safety. The scabbard is made of water buffalo leather and has got Single loops frog. the raw finishing of the blade prevent blade to loose temper and make it real working blade. The notch (kaura or kaudi) in the blade near the hilt of most khukuris serves as conduit for the blood on the blade to drip out, thus preventing it from soiling the hilt, as well as a device for catching and neutralizing and enemy blade. The handle is more practical, more beautiful.",EG004,96.99,,,20,,
EG005,2,EGKH-Gangawala Himalayan Engraving Gurkha Kukri,"Gangawal Himalayan"" Kukri is ancient model of kukri that suppose to be used in early 16th centuries by nepalese mangolian casts living in hilly reson like; sherpas, Limbu ,Guruang,Tamang,etc. It is a curve nepalese knife made from highly graded spring Steel comes in forward leaning leaf shaped blade ,which provide the user with leveraged striking power.The kukri has Rat-Tail-Tang handle that is the metal of the blade in the handle area is from inside the buffallo horn handle and and goes all the way through to the end.The buffallo horn are strong fixing with laha (a typical Nepali glue) and brass support at end like in typical early kukri that maximize force in the blade. For the scabbard two pine woods is cotton wrapped with local yak refined leather that comes with multipal pockets which holds accessories like ; ""toothpeak"" to clean the teeth ,""eartaker"" to clean ear, ""twiser"" to take out thrown in barefoot,""sharpner"" to sharp pencil ,""pencil"" to draw the map, A small ""learher pouch"" to store dry fire making stuffs ,blunt steel called ""chakmak"" for sharpening the blade or for striking spark from flint and a little knife known as ""karda"" used for skinning small animals such as rabbits. The notch in the blade near the hilt serves as conduit for the blood to drip out, thus preventing it from soiling the hilt ,as well as a device for catching and neutralizing an enemy blade. Blade Size & Type :10 inch Hand forged Spring steel, Handle Size & Type : 5 inch rat-tail-tang in Horn, Hardness of Steel : Spine =22-25 RC,Belly=45-46 RC,Edge=58-60 RC, Overall Length : 15 Inch With Scabbard, Materials Used : Highly Graded Carbon Steel for Blade. local yak refined Leather for Scabbard and horn for the Handle. Pinewood for the Scabbard (inside) Brass Metal Rivets",EG005,127.75,,,20,,
EG006,3,"EGKH-18.5"" Traditional Sirupate 2 Fullers(Chira) Shot Kukri, Gurkha Hunting Knife","This is 18.5"" Traditional Sirupate 2 Chira Shot Knife/Kukri. This particular knife’s name is come from the name of grass, ‘siru’. The shape of this khukuri blade is very much alike to the leaf of the Siru and there is 2 fuller on the blade. Hence it is called Sirupate 2 fuller khukuri. It has straight blade and not as wide as other knives. This kind of blade very useful to light work, now day British Gurkha also use similar this kind of light blade for jungle training. The sheath is made of water buffalo lather. Blade Size and Type : 18.5 Inches (46.25cm) Hand Forged, Highly Grade Carbon Steel 5160, Unpolished Blade. Handle Size and Type : 8.5 Inches (21.25cm) full tang handle made of rosewood. Overall length : 27 inches (67.5 cm) from tip of the blade to pommel of the handle (Aprox). Material Used : Highly Graded Carbon Steel(Car & Truck leaf spring, 5160) for blade, Buffalo Leather for Scabbard(outside) and Rosewood for the Handle, Pinewood for the Scabbard (inside), White metal ""Laha"" (Nepali Traditional Glue). Weight : 1050 gms(37.1 Oz.Approx). Upper Spine : 7mm. Lower Spine : 3mm. Belly : 5.3cm. Handle Circumference : 4 Inch. Hardness of steel : spine= 22-25 RC, belly= 45-46 RC, edge= 58-60 RC. Place of Origin : Hand Forged at EGKH Factory in Dharan (Eastern part of Nepal).",EG006,194.99,,,20,,
EG007,4,"EGKH.- 6"" Blade Super Mini Jungle Kukri - Authentic Gurkha Khukuri - Handmade Knife","This is Afghan version (AEOF) Kukri. This is slightly smaller than the current issue Kukri for Gurkhas who are in Afghan war. Therefore the name derived after the Afghanistan. The Gurkhas are deployed since the war started for Enduring Operation Freedom in Afghanistan. The Regiment is decided to carry new kukri fit to the Afghan environment. Therefore the Afghan Kukri AEOF is issued to Gurkhas. It is about 10.5"" in overall length with an 6"" Double Fuller-ed (Angkhola Style) semi-polished made of high graded carbon Steel, Very sharp blade. The handle is made of white Sadhan wood. The shape is different and has finger grip. It is full tang running through it making it super strong which is about 4.5 long. The scabbard is natural leather which is white color.",EG007,48.99,,,20,,
EG008,1,"EGKH-Genuine Gurkha Full Tang Blade Khukri Knife - 12"" Blade World War I Historic Hancee Kukri","Compatible with or replacement for this is 12"" Blade World War I Historic Kukri, the reproduction of old World War I Kukri. This Kukri is a very famous among Military Knife collectors because of the fact that the very design of this Kukri was carried/used by the Gurkha in hand-to-hand battle in the Jungle of Burma during world War 1st. This Kukri knife played a very significant role in creating the history of the Gurkha's. This Kukri was also great to use for any kind of heavy works. It can be used to chop wood, fire wood, bone, cleaning bushes. The blade is semi-polished. It is broad and more curved then Standard Kukris therefore it is perfect while use. The Handle is flat full tang. Unlike other handle (Not Rat tail), the handle and Blade is a one single piece and visible all around the handle (See pictures). Two Rosewood pieces joint (Attached) strongly to the metal part of handle with three metal rivets and adjust lanyard hole on handle.",EG008,154.99,,,20,,
EG009,2,"Authentic Gurkha Kukri- 12 "" Special Panawal Angkhola kukuri Guard Handle Ganjawal Sheath","This is one the famous Kukri within Village people in Nepal. it is great for any kind of heavy works. It can be used to chop wood, fire wood, bone, cleaning bushes. The blade is made of Highly Graded Carbon Steel and it is semi-polished. It is broad and more curved then Standard Kukris therefore it is perfect while use. The Handle is flat full tang. Unlike other handle (Not Rat tail), the handle and Blade is a one single piece and visible all around the handle (See pictures). the pommel of the handle is in Fish-Tail shape; and unlike regular kukri handle to make the kukri handle unique. the handle is made of Rosewood. Two Rosewood pieces joint (Attached) strongly to the metal part of handle with three metal rivets and adjust lanyard hole on handle. Special Brown Sheath is made of Genuine Buffalo Leather. The blade measures 12"" long while the handle is 5.5"" therefore; the overall length of the Kukri is 17.5 inches. The widest part of the blade is 2.28"" and the spine is 0.47"" (12mm) at the thickest part. The weight of the kukri is 1100 grams. The Blade, Handle, Scabbards and even small knives called Karda and chakmak are high end finished. The Blade, Handle, Sheath and even small knives called Karda and Chakmak are high-end finished. Two Accessory Knives: The Karda; which has a sharp edge is used of skinning animal hairs & other one is called Chakmak (blunt) is used for sharpening blade.",EG009,134.99,,,20,,
EG010,4,"EGKH.-Genuine Gurkha Hand Forged Kukri - 6"" Blade Super Mini Iraqi Operation Gripper Blocker Handle Khukuri","This is 6"" Blade Gurkha Super Mini Iraqi Operation Gripper Blocker Handle Khukuri. This kukri blade is exactly same as the British Gurkha Issue khukuri in Iraqi Operation with custom size 6 inch blade and blocker and gripper handle. It is one of the best Khukuri with heavy deep gripping handle that can be used for normal work. The Panjawala Khukuri is mostly used for heavy duty use. The blade looks very similar to Panawala Angkhoal Khukuri but is heavier. The main reason why this model was introduced is because buyers wanted a heavy duty Khukuri which they could use for both daily and rough purpose and was long lasting as well. The blade of this Khukuri is made of the strongest spring steel and is processed for longer than any other Khukuri. The handle is made of white Sadhan wood. The shape is different and has finger grip with blocker. It is full tang running through it making it super strong which is about 4” long. The craftsmanship on this knife is amazing. Karda & Chakmak: These are small knives come with the purchase of this Kukri. Karda is small knife used of skinning animal hairs and Chakmak which has blunt edge is used for sharpening the Kukri blade. *Specification of 6"" Blade Gurkha Super Mini Iraqi Operation Gripper Blocker Handle Khukuri: This is handcrafted kukri therefore please note that each one might have slight variations in measurement. * Blade size & Type: 6 inch (15.24cm) Handmade and Unpolished blade. * Handle size: 4 Inches (10.16cm) full tang Gripper & Blocker handle Indian Rosewood. * Overall Length: 10 inches (25.400cm) from tip of the blade to pommel of the handle (Aprox). * Upper Spine : 9mm. * Belly : 4.2cm. * Weight: 0.88 lbs (400 grams) Approx, Only Blade. * Scabbard: Cotton Covered in WaterBuffalo Leather * Shipping weight: 2.20 lbs or 1 Kg * Origin: Hand forge at Ex Gurkha Khukuri House factory in Dharan, East Nepal. * Blade Hardness: spine: 22-25 RC, Belly: 45-46 RC, Edge: 58-60 RC, Steel",EG010,67.99,,,20,,
EG011,2,EGKH- 24 inches Sirupate khukuri-Traditional kukri-kukri Sword-Large khukuri,"This is one of the traditional kukri.The name Sirupate is derives from “SIRU”(kind of grass) which is very narrow and sharp.Unlike other kukri’s the blade of this kukriis very narrow so this kukri is named as sirupate khukuri. This kukri is very famous in Nepal. 24” Rustfree blade is made of Highly Graded Carbon with balanced temper on the edge of the blade therefore its very strong.6” full tang handle is made of very strong Rosewood. The sheath is made of Cotton Covered in Yak- Leather. Two small knife(karda & chakmak )are also come with this kukri.This blade can be used to chop wood or bone cleaning bushes and other kind of domestic and jungle work. This Kukri's Specifications: This is handcrafted knife therefore please note that each one might have slight variations in measurement. The following measurement is approximation only. Blade Hardness:Spine: 22-25 RC, Belly: 45-46 RC, Edge: 58-60 RC, Steel Type: 5160 Car Spring, Blade size & Type:24 Inches Hand made, Highly Grade Carbon Steel, Un-Polished Blade, Handle size: 6 Inches full tang handle made of Rosewood. Overall Length:30 inches from tip of the blade to pommel of the handle (Aprox). Weight: (1250 grams) Approx, Blade and Sheath & Karda & Chakmak. Scabbard: Cotton Covered in Yak-Leather",EG011,228.99,,,20,,
